fips,country,state,county,level,lat,locationId,long,population,metrics,riskLevels,actuals,lastUpdatedDate
02013,USA,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,"{'testPositivityRatio': 0.0, 'testPositivityRatioDetails': {'source': 'Valorum'}, 'caseDensity': 8.562010360032536, 'contactTracerCapacityRatio': None, 'infectionRate': None, 'infectionRateCI90': None, 'icuHeadroomRatio': None, 'icuHeadroomDetails': None}","{'overall': 1, 'testPositivityRatio': 0, 'caseDensity': 1, 'contactTracerCapacityRatio': 4, 'infectionRate': 4, 'icuHeadroomRatio': 4}","{'cases': 17, 'deaths': 0, 'positiveTests': 17, 'negativeTests': 1947, 'contactTracers': None, 'hospitalBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'icuBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'newCases': 0}",2020-11-06
02016,USA,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,"{'testPositivityRatio': 0.005291005291005291, 'testPositivityRatioDetails': {'source': 'Valorum'}, 'caseDensity': 7.60687661646128, 'contactTracerCapacityRatio': None, 'infectionRate': 1.16160216629, 'infectionRateCI90': 1.3616051777599998, 'icuHeadroomRatio': None, 'icuHeadroomDetails': {'currentIcuCovid': 0, 'currentIcuCovidMethod': 'estimated', 'currentIcuNonCovid': 0, 'currentIcuNonCovidMethod': 'estimated_from_typical_utilization'}}","{'overall': 2, 'testPositivityRatio': 0, 'caseDensity': 1, 'contactTracerCapacityRatio': 4, 'infectionRate': 2, 'icuHeadroomRatio': 4}","{'cases': 102, 'deaths': 0, 'positiveTests': 108, 'negativeTests': 2670, 'contactTracers': None, 'hospitalBeds': {'capacity': 0, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'icuBeds': {'capacity': 0, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'newCases': 1}",2020-11-06
02020,USA,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,"{'testPositivityRatio': 0.07667147667147667, 'testPositivityRatioDetails': {'source': 'Valorum'}, 'caseDensity': 64.28571428571429, 'contactTracerCapacityRatio': None, 'infectionRate': 1.1417483537100002, 'infectionRateCI90': 0.11243719806999963, 'icuHeadroomRatio': 0.3850923698630137, 'icuHeadroomDetails': {'currentIcuCovid': 14, 'currentIcuCovidMethod': 'estimated', 'currentIcuNonCovid': 36, 'currentIcuNonCovidMethod': 'estimated_from_typical_utilization'}}","{'overall': 3, 'testPositivityRatio': 1, 'caseDensity': 3, 'contactTracerCapacityRatio': 4, 'infectionRate': 2, 'icuHeadroomRatio': 0}","{'cases': 9201, 'deaths': 50, 'positiveTests': 13750, 'negativeTests': 378232, 'contactTracers': None, 'hospitalBeds': {'capacity': 1149, 'currentUsageTotal': None, 'currentUsageCovid': 32, 'typicalUsageRate': 0.66}, 'icuBeds': {'capacity': 73, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': 0.71}, 'newCases': 165}",2020-11-06
02050,USA,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,"{'testPositivityRatio': 0.10702341137123746, 'testPositivityRatioDetails': {'source': 'Valorum'}, 'caseDensity': 125.09518111606657, 'contactTracerCapacityRatio': None, 'infectionRate': 1.10119040898, 'infectionRateCI90': 0.37624611869000013, 'icuHeadroomRatio': None, 'icuHeadroomDetails': {'currentIcuCovid': 1, 'currentIcuCovidMethod': 'estimated', 'currentIcuNonCovid': 0, 'currentIcuNonCovidMethod': 'estimated_from_typical_utilization'}}","{'overall': 3, 'testPositivityRatio': 2, 'caseDensity': 3, 'contactTracerCapacityRatio': 4, 'infectionRate': 2, 'icuHeadroomRatio': 4}","{'cases': 584, 'deaths': 1, 'positiveTests': 640, 'negativeTests': 30532, 'contactTracers': None, 'hospitalBeds': {'capacity': 37, 'currentUsageTotal': None, 'currentUsageCovid': 0, 'typicalUsageRate': 0.4}, 'icuBeds': {'capacity': 0, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'newCases': 40}",2020-11-06
02060,USA,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,"{'testPositivityRatio': None, 'testPositivityRatioDetails': {'source': 'other'}, 'caseDensity': 0.0, 'contactTracerCapacityRatio': None, 'infectionRate': None, 'infectionRateCI90': None, 'icuHeadroomRatio': None, 'icuHeadroomDetails': None}","{'overall': 0, 'testPositivityRatio': 4, 'caseDensity': 0, 'contactTracerCapacityRatio': 4, 'infectionRate': 4, 'icuHeadroomRatio': 4}","{'cases': 76, 'deaths': 0, 'positiveTests': None, 'negativeTests': None, 'contactTracers': None, 'hospitalBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'icuBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'newCases': 0}",2020-11-06
02068,USA,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,"{'testPositivityRatio': 0.058823529411764705, 'testPositivityRatioDetails': {'source': 'Valorum'}, 'caseDensity': 13.62490632876899, 'contactTracerCapacityRatio': None, 'infectionRate': None, 'infectionRateCI90': None, 'icuHeadroomRatio': None, 'icuHeadroomDetails': None}","{'overall': 2, 'testPositivityRatio': 1, 'caseDensity': 2, 'contactTracerCapacityRatio': 4, 'infectionRate': 4, 'icuHeadroomRatio': 4}","{'cases': 33, 'deaths': 0, 'positiveTests': 42, 'negativeTests': 1260, 'contactTracers': None, 'hospitalBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'icuBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'newCases': 0}",2020-11-06
02070,USA,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,"{'testPositivityRatio': 0.012048192771084338, 'testPositivityRatioDetails': {'source': 'Valorum'}, 'caseDensity': 11.62385214460072, 'contactTracerCapacityRatio': None, 'infectionRate': None, 'infectionRateCI90': None, 'icuHeadroomRatio': None, 'icuHeadroomDetails': {'currentIcuCovid': 0, 'currentIcuCovidMethod': 'estimated', 'currentIcuNonCovid': 0, 'currentIcuNonCovidMethod': 'estimated_from_typical_utilization'}}","{'overall': 2, 'testPositivityRatio': 0, 'caseDensity': 2, 'contactTracerCapacityRatio': 4, 'infectionRate': 4, 'icuHeadroomRatio': 4}","{'cases': 62, 'deaths': 0, 'positiveTests': 42, 'negativeTests': 3521, 'contactTracers': None, 'hospitalBeds': {'capacity': 18, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': 0.15}, 'icuBeds': {'capacity': 0, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'newCases': 0}",2020-11-06
02090,USA,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,"{'testPositivityRatio': 0.07146129180027486, 'testPositivityRatioDetails': {'source': 'Valorum'}, 'caseDensity': 40.121367135585146, 'contactTracerCapacityRatio': None, 'infectionRate': 1.0914110566, 'infectionRateCI90': 0.24122146585000004, 'icuHeadroomRatio': 0.4944426083916084, 'icuHeadroomDetails': {'currentIcuCovid': 3, 'currentIcuCovidMethod': 'estimated', 'currentIcuNonCovid': 5, 'currentIcuNonCovidMethod': 'estimated_from_typical_utilization'}}","{'overall': 3, 'testPositivityRatio': 1, 'caseDensity': 3, 'contactTracerCapacityRatio': 4, 'infectionRate': 1, 'icuHeadroomRatio': 0}","{'cases': 2459, 'deaths': 16, 'positiveTests': 2316, 'negativeTests': 45792, 'contactTracers': None, 'hospitalBeds': {'capacity': 175, 'currentUsageTotal': None, 'currentUsageCovid': 10, 'typicalUsageRate': 0.46}, 'icuBeds': {'capacity': 13, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': 0.66}, 'newCases': 24}",2020-11-06
02100,USA,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,"{'testPositivityRatio': 0.009009009009009009, 'testPositivityRatioDetails': {'source': 'Valorum'}, 'caseDensity': 11.29305477131564, 'contactTracerCapacityRatio': None, 'infectionRate': None, 'infectionRateCI90': None, 'icuHeadroomRatio': None, 'icuHeadroomDetails': None}","{'overall': 2, 'testPositivityRatio': 0, 'caseDensity': 2, 'contactTracerCapacityRatio': 4, 'infectionRate': 4, 'icuHeadroomRatio': 4}","{'cases': 14, 'deaths': 0, 'positiveTests': 5, 'negativeTests': 1191, 'contactTracers': None, 'hospitalBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'icuBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'newCases': 0}",2020-11-06
02105,USA,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,"{'testPositivityRatio': 0.015, 'testPositivityRatioDetails': {'source': 'CMSTesting'}, 'caseDensity': None, 'contactTracerCapacityRatio': None, 'infectionRate': None, 'infectionRateCI90': None, 'icuHeadroomRatio': None, 'icuHeadroomDetails': None}","{'overall': 4, 'testPositivityRatio': 0, 'caseDensity': 4, 'contactTracerCapacityRatio': 4, 'infectionRate': 4, 'icuHeadroomRatio': 4}","{'cases': None, 'deaths': None, 'positiveTests': None, 'negativeTests': None, 'contactTracers': None, 'hospitalBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'icuBeds': {'capacity': None, 'currentUsageTotal': None, 'currentUsageCovid': None, 'typicalUsageRate': None}, 'newCases': None}",2020-11-06
